"","MET","TIME","SAMPLE","QT"
"733","ribonate",12,1,0.86
"734","ribonate",12,2,0.821
"735","ribonate",12,3,0.802
"736","ribonate",24,1,0.821
"737","ribonate",24,2,0.829
"738","ribonate",24,3,0.647
"739","ribonate",48,1,0.837
"740","ribonate",48,2,0.845
"741","ribonate",48,3,0.823
"742","ribonate",72,1,0.806
"743","ribonate",72,2,0.802
"744","ribonate",72,3,0.786
"745","shikimate",0.5,1,0.746
"746","shikimate",0.5,2,0.727
"747","shikimate",0.5,3,0.613
"748","shikimate",1,1,1.05
"749","shikimate",1,2,0.786
"750","shikimate",1,3,0.603
"751","shikimate",2,1,0.58
"752","shikimate",2,2,0.622
"753","shikimate",2,3,0.618
"754","shikimate",4,1,0.517
"755","shikimate",4,2,0.526
"756","shikimate",4,3,0.506
"757","shikimate",12,1,0.526
"758","shikimate",12,2,0.522
"759","shikimate",12,3,0.524
"760","shikimate",24,1,0.324
"761","shikimate",24,2,0.316
"762","shikimate",24,3,0.368
"763","shikimate",48,1,0.748
"764","shikimate",48,2,0.64
"765","shikimate",48,3,0.68
"766","shikimate",72,1,2.01
"767","shikimate",72,2,1.97
"768","shikimate",72,3,1.99
"769","citrate",0.5,1,0.949
"770","citrate",0.5,2,1.01
"771","citrate",0.5,3,1.01
"772","citrate",1,1,1.29
"773","citrate",1,2,1.1
"774","citrate",1,3,1.07
"775","citrate",2,1,1.52
"776","citrate",2,2,1.54
"777","citrate",2,3,1.71
"778","citrate",4,1,1.32
"779","citrate",4,2,1.32
"780","citrate",4,3,1.29
"781","citrate",12,1,1.06
"782","citrate",12,2,1.01
"783","citrate",12,3,1.02
"784","citrate",24,1,0.145
"785","citrate",24,2,0.382
"786","citrate",24,3,0.457
"787","citrate",48,1,0.509
"788","citrate",48,2,0.584
"789","citrate",48,3,0.567
"790","citrate",72,1,0.766
"791","citrate",72,2,0.782
"792","citrate",72,3,0.752
"793","D-fructose",0.5,1,0.768
"794","D-fructose",0.5,2,0.743
"795","D-fructose",0.5,3,0.727
"796","D-fructose",1,1,1.1
"797","D-fructose",1,2,1.02
"798","D-fructose",1,3,1.19
"799","D-fructose",2,1,0.886
"800","D-fructose",2,2,0.889
"801","D-fructose",2,3,0.893
"802","D-fructose",4,1,0.699
"803","D-fructose",4,2,0.627
"804","D-fructose",4,3,0.684
"805","D-fructose",12,1,0.25
"806","D-fructose",12,2,0.245
"807","D-fructose",12,3,0.236
"808","D-fructose",24,1,0.598
"809","D-fructose",24,2,0.625
"810","D-fructose",24,3,0.673
"811","D-fructose",48,1,1.07
"812","D-fructose",48,2,0.887
"813","D-fructose",48,3,0.972
"814","D-fructose",72,1,1.52
"815","D-fructose",72,2,1.61
"816","D-fructose",72,3,1.51
